,Datum,Št. ponesrečencev,PoskodbaVrstaNACA,Dejavnost_alpsko smučanje,Dejavnost_druge športne in rekreacijske aktivnosti,Dejavnost_gorsko kolesarjenje,Dejavnost_planinstvo - brezpotje,Dejavnost_planinstvo - hoja po poti,Dejavnost_plezanje,Dejavnost_turno smučanje,Temp_tisti_dan,Temp_prejsni_dan,Temp_preprejsni_dan,Kolicina_dezja_tisti_dan,Kolicina_dezja_prejsni_dan,Kolicina_dezja_preprejsni_dan,Snezenje_cm_tisti_dan,Snezenje_cm_prejsni_dan,Snezenje_cm_preprejsni_dan,HeliStCiklov,latitude,longitude,Postaja_GRS BOVEC,Postaja_GRS CELJE,Postaja_GRS JESENICE,Postaja_GRS JEZERSKO,Postaja_GRS KAMNIK,Postaja_GRS KOROŠKE,Postaja_GRS KRANJ,Postaja_GRS KRANJSKA GORA,Postaja_GRS LJUBLJANA,Postaja_GRS MARIBOR,Postaja_GRS MOJSTRANA,Postaja_GRS RADOVLJICA,Postaja_GRS TOLMIN,Postaja_GRS TRŽIČ,Vzrok_drugo (Aktivnosti na snegu),Vzrok_drugo (Izguba opreme),Vzrok_drugo (Izguba zavesti),Vzrok_drugo (Neprimerna oprema),Vzrok_drugo (Obstala na snežišču),Vzrok_drugo (Padec očal ),Vzrok_drugo (Padec tovarisa),Vzrok_drugo (Premehka podlaga),Vzrok_drugo (Spremljevalec poškodovanke),Vzrok_drugo (Spremljevalka poškodovanke),Vzrok_drugo (izguba kontrole nad sanmi),Vzrok_drugo (močna nevihta),Vzrok_drugo (močne nevihte),Vzrok_drugo (napad živali),Vzrok_drugo (ni bilo nic narobe z njim),Vzrok_drugo (nič),Vzrok_drugo (obstali so na snežišču),Vzrok_drugo (otrok (zašla mama)),Vzrok_drugo (padec s kolesom),Vzrok_drugo (padec soplezalca),Vzrok_drugo (piki ose),Vzrok_drugo (podcenjevanje vremenske napovedi),Vzrok_drugo (prezahtevna sprehajalna pot),Vzrok_drugo (prisoten ob nesreči),Vzrok_drugo (reševanje otroka),Vzrok_drugo (sneg na poti),Vzrok_drugo (spremljevalec poškodovanke),Vzrok_drugo (stresna reakcija),Vzrok_drugo (zahteven teren),Vzrok_drugo (zdrs pri sankanju),Vzrok_drugo (zmrznjen čevelj),Vzrok_drugo (Šok),"Vzrok_drugo (Šok, zmedenost )",Vzrok_izčrpanost,Vzrok_padajoče kamenje,Vzrok_padec,Vzrok_plaz,Vzrok_strela,Vzrok_zakasnitev,Vzrok_zašel,Izkušenost_drugo,Izkušenost_gorski vodnik,Izkušenost_planinec nečlan PD,Izkušenost_planinec-član PD,Izkušenost_planinski vodnik,Izkušenost_reševalec,Izkušenost_turist
0,2022-06-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.5,19.6,18.9,0.6,9.6,0.1,0.0,0.0,0.0,1.0,46.43028,14.10333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2022-07-31,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.3,12.4,14.7,0.0,8.9,0.5,0.0,0.0,0.0,2.0,46.28973235,13.74725055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,2022-07-31,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.3,12.4,14.7,0.0,8.9,0.5,0.0,0.0,0.0,2.0,46.28973235,13.74725055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3,2023-07-14,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.1,14.1,18.2,0.0,34.9,4.1,0.0,0.0,0.0,4.0,46.457057750000004,13.8183385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
4,2023-09-12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.3,19.1,18.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.3513803,14.8881427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
5,2024-02-14,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8,-2.7,-1.3,0.0,0.0,0.9,0.0,0.0,0.49,1.0,46.2877227,13.763360578565829,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,2024-02-27,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.2,-1.7,7.1,0.1,0.3,2.17,0.0,1.19,3.0,46.3441471,13.9218914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,2024-03-15,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.293357,13.888238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
8,2024-03-15,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.293357,13.888238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
9,2024-03-15,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.293357,13.888238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
